Country,Area(sq km),Birth rate(births/1000 population),Current account balance,Death rate(deaths/1000 population),Debt - external,Electricity - consumption(kWh),Electricity - production(kWh),Exports,GDP_brut,GDP,GDP - real growth rate(%),HIV/AIDS - adult prevalence rate(%),HIV/AIDS - deaths,HIV/AIDS - people living with HIV/AIDS,Highways(km),Imports,Industrial production growth rate(%),Infant mortality rate(deaths/1000 live births),Inflation rate (consumer prices)(%),Internet hosts,Internet users,Investment (gross fixed)(% of GDP),Labor force,Life expectancy at birth(years),Military expenditures - dollar figure,Military expenditures - percent of GDP(%),Natural gas - consumption(cu m),Natural gas - exports(cu m),Natural gas - imports(cu m),Natural gas - production(cu m),Natural gas - proved reserves(cu m),Oil - consumption(bbl/day),Oil - exports(bbl/day),Oil - imports(bbl/day),Oil - production(bbl/day),Oil - proved reserves(bbl),Population,Public_debt,Railways(km),Reserves of foreign exchange & gold,Telephones - main lines in use,Telephones - mobile cellular,Total fertility rate(children born/woman),Unemployment
String,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
NL,41526,11.14,19900000000,8.68,,1.01E+11,90610000000,2.93E+11,4.81E+11,29500,1.2,0.2,100,19000,116500,2.53E+11,0.8,5.04,1.4,4518226,8500000,19.9,7530000,78.81,9408000000,1.6,49720000000,49280000000,20780000000,77750000000,1.69E+12,895300,1418000,2284000,46200,88060000,16407491,55.8,2808,21440000000,10004000,12500000,1.66,6
NO,324220,11.67,30520000000,9.45,0,1.07E+11,1.26E+11,76640000000,1.83E+11,40000,3.3,0.1,100,2100,91852,45960000000,5.2,3.7,1,593850,2288000,17.5,2380000,79.4,4033500000,1.9,4100000000,50500000000,0,54600000000,1.72E+12,171100,3466000,88870,3310000,9859000000,4593041,33.1,4077,,3343000,4163400,1.78,4.3
PL,312685,10.78,-3831000000,10.01,99150000000,1.17E+11,1.34E+11,75980000000,4.63E+11,12000,5.6,0.1,100,14000,364697,81610000000,10,8.51,3.4,804915,8970000,18.4,17020000,74.41,3500000000,1.71,13850000000,41000000,8782000000,5471000000,1.54E+11,424100,53000,413700,17180,116400000,38635144,49.9,23852,41880000000,12300000,17401000,1.39,19.5
PT,92391,10.82,-8120000000,10.43,2.75E+11,42150000000,43280000000,37680000000,1.89E+11,17900,1.1,0.4,1000,22000,17135,52100000000,1.1,5.05,2.1,346078,3600000,22.3,5480000,77.53,3497800000,2.3,2542000000,0,2553000000,0,,339800,28830,357300,0,,10566212,61.5,2850,12300000000,4278800,9341400,1.47,6.5
RO,237500,10.7,-3631000000,11.74,24590000000,57500000000,56530000000,23540000000,1.72E+11,7700,8.1,0.1,350,6500,198755,28430000000,4,26.43,9.6,50807,4000000,23.3,9660000,71.35,985000000,2.47,18500000000,0,5400000000,12600000000,1.11E+11,253800,,,128000,1055000000,22329977,23.6,11385,16210000000,4300000,6900000,1.36,6.3
SK,48845,10.62,-1400000000,9.43,19540000000,28890000000,31150000000,29240000000,78890000000,14500,5.3,0.1,100,200,42970,29670000000,5.1,7.41,7.5,89592,1375800,24,2200000,74.5,406000000,1.89,6800000000,0,6600000000,190000000,7504000000,82000,,,1000,4500000,5431363,46.6,3661,14910000000,1294700,3678800,1.32,13.1
SI,20273,8.95,-51640000,10.22,14650000000,11800000000,12490000000,14970000000,39410000000,19600,3.9,0.1,100,280,20250,16070000000,3.9,4.45,3.3,45491,750000,24.9,870000,76.14,370000000,1.7,1040000000,0,1040000000,0,,53300,,,20,,2011070,31.5,1201,8493000000,812300,1739100,1.24,6.4
ES,504782,10.1,-30890000000,9.63,7.71E+11,2.18E+11,2.29E+11,1.73E+11,9.38E+11,23300,2.6,0.7,1000,140000,664852,2.22E+11,3,4.42,3.2,1056950,9789000,25.4,19330000,79.52,9906500000,1.2,17960000000,0,17260000000,516000000,254900000,1497000,135100,1582000,7099,10500000,40341462,53.2,14268,19700000000,17567500,37506700,1.28,10.4
SE,449964,10.36,24080000000,10.36,66500000000,1.38E+11,1.43E+11,1.22E+11,2.55E+11,28400,3.6,0.1,100,3600,213237,97970000000,5.5,2.77,0.7,945221,5125000,15.8,4460000,80.4,5729000000,1.7,949000000,0,968000000,0,,328600,203700,553100,0,,9001774,51.6,11481,19990000000,6579200,7949000,1.66,5.6
TR,780580,16.83,-15300000000,5.96,16900000000,1.18E+11,1.40E+11,69460000000,5.09E+11,7400,8.2,0.1,,,354421,94500000000,16.5,41.04,9.3,355215,5500000,17.3,25300000,72.36,12155000000,5.3,15940000000,0,15750000000,312000000,8685000000,619500,46110,616500,48000,288400000,69660559,74.3,8671,37100000000,18916700,27887500,1.94,9.3
GB,244820,10.78,-33460000000,10.18,4.71E+12,3.37E+11,3.96E+11,3.47E+11,1.78E+12,29600,3.2,0.2,500,51000,392931,4.39E+11,0.9,5.16,1.4,3398708,25000000,16.2,29780000,78.38,42836500000,2.4,92850000000,15750000000,2700000000,1.06E+11,7.15E+11,1692000,1498000,1084000,1957000,25410000000,60441457,39.6,17186,48730000000,34898000,49677000,1.66,4.8
LU,,,,,,,,,,58900,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7,,,,,,4.5
