Personal care,Sleeping & Resting,Eating,Work,Studying,Household,Food management,Chores,Handicraft & Construction,Gardening & Pet care,Shopping,Childcare,Social life & Leisure,Sports,Hobbies,Computing,Reading,"TV, Radio & Entertainment",Travel,Unspecified
11:27,08:45,01:19,09:22,00:14,03:08,00:21,00:16,00:30,00:26,00:20,00:11,05:50,00:23,00:05,00:03,00:37,02:45,01:48,00:10
11:23,08:43,01:12,06:30,00:15,05:16,01:19,01:20,00:17,00:32,00:29,00:38,05:04,00:15,00:05,00:01,00:37,02:16,01:37,00:11
