Personal care,Sleeping & Resting,Eating,Work,Studying,Household,Food management,Chores,Handicraft & Construction,Gardening & Pet care,Shopping,Childcare,Social life & Leisure,Sports,Hobbies,Computing,Reading,"TV, Radio & Entertainment",Travel,Unspecified
11:27,08:42,01:49,06:39,00:24,02:54,00:22,00:20,00:19,00:27,00:24,00:12,07:04,00:27,00:13,00:27,00:28,02:50,02:31,00:01
11:58,09:05,01:50,04:01,00:34,04:48,00:57,01:14,00:10,00:16,00:33,00:27,06:14,00:18,00:09,00:11,00:24,02:27,02:23,00:01
