Personal care,Sleeping & Resting,Eating,Work,Studying,Household,Food management,Chores,Handicraft & Construction,Gardening & Pet care,Shopping,Childcare,Social life & Leisure,Sports,Hobbies,Computing,Reading,"TV, Radio & Entertainment",Travel,Unspecified
12:33,09:18,02:07,07:26,00:06,03:06,00:15,00:12,00:16,01:11,00:13,00:08,05:38,00:26,00:11,00:01,00:21,02:48,01:43,00:01
12:14,09:15,01:55,05:26,00:13,05:19,01:37,01:32,00:18,00:42,00:16,00:24,04:33,00:17,00:02,00:00,00:16,02:18,01:21,00:02
