Personal care,Sleeping & Resting,Eating,Work,Studying,Household,Food management,Chores,Handicraft & Construction,Gardening & Pet care,Shopping,Childcare,Social life & Leisure,Sports,Hobbies,Computing,Reading,"TV, Radio & Entertainment",Travel,Unspecified
10:51,08:07,01:25,08:34,00:26,02:39,00:25,00:24,00:24,00:15,00:21,00:19,07:41,00:33,00:12,00:13,00:33,02:21,02:10,00:07
11:23,08:22,01:20,05:34,00:32,04:04,00:51,01:09,00:16,00:13,00:27,00:37,07:53,00:27,00:10,00:06,00:39,01:52,01:58,00:07
