Personal care,Sleeping & Resting,Eating,Work,Studying,Household,Food management,Chores,Handicraft & Construction,Gardening & Pet care,Shopping,Childcare,Social life & Leisure,Sports,Hobbies,Computing,Reading,"TV, Radio & Entertainment",Travel,Unspecified
11:23,08:58,01:33,10:38,00:20,02:24,00:16,00:11,00:17,00:24,00:12,00:05,05:31,00:31,00:05,00:05,00:26,02:29,02:08,00:04
11:36,09:04,01:26,07:23,00:27,04:25,01:06,01:01,00:10,00:32,00:21,00:24,04:57,00:21,00:04,00:01,00:29,02:03,02:04,00:06
