Personal care,Sleeping & Resting,Eating,Work,Studying,Household,Food management,Chores,Handicraft & Construction,Gardening & Pet care,Shopping,Childcare,Social life & Leisure,Sports,Hobbies,Computing,Reading,"TV, Radio & Entertainment",Travel,Unspecified
11:11,08:56,01:33,08:07,00:32,03:09,00:16,00:12,00:25,00:53,00:16,00:14,06:45,00:36,00:09,00:07,00:23,02:24,01:51,00:01
11:13,08:55,01:26,05:40,00:40,05:18,01:24,01:32,00:09,00:41,00:21,00:33,05:35,00:26,00:05,00:02,00:23,01:53,01:40,00:04
