Personal care,Sleeping & Resting,Eating,Work,Studying,Household,Food management,Chores,Handicraft & Construction,Gardening & Pet care,Shopping,Childcare,Social life & Leisure,Sports,Hobbies,Computing,Reading,"TV, Radio & Entertainment",Travel,Unspecified
11:01,08:46,01:23,07:54,00:28,02:49,00:21,00:14,00:22,00:13,00:26,00:14,07:04,00:37,00:10,00:10,00:44,02:42,01:59,00:23
11:25,08:52,01:19,05:21,00:34,04:26,00:55,00:59,00:14,00:18,00:32,00:32,06:31,00:28,00:10,00:03,00:47,02:15,01:54,00:25
