Personal care,Sleeping & Resting,Eating,Work,Studying,Household,Food management,Chores,Handicraft & Construction,Gardening & Pet care,Shopping,Childcare,Social life & Leisure,Sports,Hobbies,Computing,Reading,"TV, Radio & Entertainment",Travel,Unspecified
11:29,08:24,01:43,07:21,00:32,02:50,00:16,00:22,00:19,00:24,00:29,00:12,07:05,00:28,00:18,00:21,00:37,02:17,02:22,00:11
11:54,08:35,01:46,04:05,00:27,04:45,00:49,01:23,00:10,00:22,00:38,00:29,06:43,00:27,00:16,00:08,00:38,01:58,02:14,00:13
