Country,Happiness
Belgium,7.8
Bulgaria,5.8
Estonia,7.4
Finland,8.3
France,7.8
Germany,7.5
Italy,7.0
Latvia,6.8
Lithuania,7.3
Norway,8.1
Poland,7.4
Slovenia,7.7
Spain,7.6
United Kingdom,7.8
