Personal care,Sleeping & Resting,Eating,Work,Studying,Household,Food management,Chores,Handicraft & Construction,Gardening & Pet care,Shopping,Childcare,Social life & Leisure,Sports,Hobbies,Computing,Reading,"TV, Radio & Entertainment",Travel,Unspecified
12:25,08:51,02:18,08:00,00:32,02:36,00:16,00:21,00:32,00:26,00:30,00:11,05:43,00:37,00:14,00:07,00:23,02:17,01:38,00:03
12:39,09:01,02:11,04:49,00:29,04:45,01:01,01:45,00:12,00:16,00:41,00:33,05:04,00:23,00:11,00:02,00:23,02:02,01:26,00:07
