Personal care,Sleeping & Resting,Eating,Work,Studying,Household,Food management,Chores,Handicraft & Construction,Gardening & Pet care,Shopping,Childcare,Social life & Leisure,Sports,Hobbies,Computing,Reading,"TV, Radio & Entertainment",Travel,Unspecified
11:46,08:43,01:32,09:59,00:20,02:45,00:20,00:15,00:18,00:26,00:13,00:08,05:37,00:21,00:04,00:08,00:23,02:46,01:51,00:05
11:52,08:48,01:26,07:22,00:22,04:54,01:18,01:15,00:13,00:36,00:21,00:26,04:32,00:13,00:02,00:02,00:23,02:05,01:44,00:06
