Personal care,Sleeping & Resting,Eating,Work,Studying,Household,Food management,Chores,Handicraft & Construction,Gardening & Pet care,Shopping,Childcare,Social life & Leisure,Sports,Hobbies,Computing,Reading,"TV, Radio & Entertainment",Travel,Unspecified
11:59,09:00,01:47,09:12,00:37,01:52,00:19,00:12,00:06,00:16,00:19,00:13,06:24,00:53,00:10,00:11,00:17,02:12,01:53,00:08
11:54,08:58,01:44,04:30,00:42,05:26,01:20,01:42,00:11,00:07,00:35,00:36,05:34,00:38,00:05,00:03,00:12,01:54,01:42,00:07
