Personal care,Sleeping & Resting,Eating,Work,Studying,Household,Food management,Chores,Handicraft & Construction,Gardening & Pet care,Shopping,Childcare,Social life & Leisure,Sports,Hobbies,Computing,Reading,"TV, Radio & Entertainment",Travel,Unspecified
11:34,08:36,01:33,08:25,00:30,02:47,00:25,00:17,00:19,00:23,00:21,00:16,06:36,00:25,00:07,00:11,00:21,02:46,01:55,00:13
11:57,08:47,01:34,04:44,00:30,05:03,01:30,01:24,00:07,00:19,00:30,00:42,05:50,00:16,00:06,00:03,00:25,02:11,01:51,00:11
