Personal care,Sleeping & Resting,Eating,Work,Studying,Household,Food management,Chores,Handicraft & Construction,Gardening & Pet care,Shopping,Childcare,Social life & Leisure,Sports,Hobbies,Computing,Reading,"TV, Radio & Entertainment",Travel,Unspecified
11:03,08:35,01:24,08:50,00:18,02:34,00:26,00:24,00:17,00:22,00:24,00:15,06:27,00:18,00:11,00:14,00:26,02:51,02:24,00:17
11:33,08:50,01:26,05:05,00:19,04:34,00:59,01:18,00:09,00:19,00:39,00:42,06:15,00:10,00:11,00:05,00:25,02:20,02:22,00:19
