Personal care,Sleeping & Resting,Eating,Work,Studying,Household,Food management,Chores,Handicraft & Construction,Gardening & Pet care,Shopping,Childcare,Social life & Leisure,Sports,Hobbies,Computing,Reading,"TV, Radio & Entertainment",Travel,Unspecified
12:18,08:49,01:57,09:02,00:24,01:48,00:11,00:14,00:06,00:20,00:22,00:13,06:17,00:38,00:12,00:09,00:21,02:02,02:31,00:06
12:13,08:50,01:52,03:59,00:30,05:32,01:19,02:29,00:09,00:10,00:36,00:34,05:17,00:23,00:05,00:02,00:16,01:36,02:04,00:04
